date,ticker,positive,tweets
20170109,AAAS,0.739,6658
20170109,AAFK,0.068,6106
20170109,AAYJ,0.343,7223
20170109,ABB,0.369,6006
20170109,ABEL,0.352,6450
20170109,ABI6,0.577,6744
20170109,ABSY,0.577,8854
20170109,ABW,0.865,5301
20170109,ACH,0.22,138
20170109,ACI,0.51,2654
20170109,ACWQ,0.772,3764
20170109,ADB2,0.868,1670
20170109,ADGI,0.524,5066
20170109,ADM0,0.834,1073
20170109,ADP,0.339,2542
20170109,ADQ,0.031,7951
20170109,ADUC,0.861,1828
20170109,ADV,0.411,3333
20170109,AEEQ,0.274,4460
20170109,AEQJ,0.326,6644
20170109,AFB0,0.238,5165
20170109,AFEO,0.433,1762
20170109,AFFT,0.026,6028
20170109,AFO,0.855,7891
20170109,AFZU,0.761,3391
20170109,AGAU,0.983,7554
20170109,AGF,0.777,3464
20170109,AGKJ,0.063,5223
20170109,AGUY,0.752,7901
20170109,AGZ,0.301,1143
20170109,AHEL,0.227,3701
20170109,AHFM,0.286,314
20170109,AHGN,0.932,4250
20170109,AHI,0.711,1880
20170109,AHSV,0.825,4790
20170109,AHWU,0.261,8566
20170109,AID,0.545,7148
20170109,AIDA,0.259,4505
20170109,AIJQ,0.213,4792
20170109,AIS,0.237,7307
20170109,AJD,0.632,4525
20170109,AJLP,0.334,3952
20170109,AJQ,0.304,7706
20170109,AKA,0.587,2422
20170109,AKD,0.289,4952
20170109,AKE0,0.641,7057
20170109,AKQ3,0.091,2976
20170109,AKRG,0.927,2609
20170109,AKZR,0.697,5658
20170109,ALVM,0.475,628
20170109,ALYQ,0.273,2642
20170109,AMD2,0.178,3963
20170109,AMJ,0.811,1005
20170109,AMK2,0.734,5656
20170109,AMR3,0.705,8043
20170109,AMT5,0.419,5038
20170109,AMXS,0.515,2065
20170109,ANAH,0.174,1908
20170109,ANC2,0.812,5170
20170109,ANJO,0.071,4097
20170109,ANJQ,0.825,7454
20170109,ANK,0.47,7323
20170109,ANSD,0.954,4414
20170109,ANSZ,0.29,8177
20170109,AOR8,0.289,1425
20170109,AOU,0.195,6985
20170109,APP5,0.893,2647
20170109,APU9,0.844,338
20170109,APWX,0.932,6423
